host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,bedrooms_na,bathrooms_na,beds_na,review_scores_rating_na,review_scores_accuracy_na,review_scores_cleanliness_na,review_scores_checkin_na,review_scores_communication_na,review_scores_location_na,review_scores_value_na,index
t,flexible,t,37.0,Chinatown,37.79176,-122.40874,Boutique hotel,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,2.0,1.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
t,strict_14_with_grace_period,f,1.0,Outer Sunset,37.75796,-122.48583,House,Entire home/apt,4.0,1.0,1.0,2.0,Real Bed,1.0,13.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
f,strict_14_with_grace_period,t,1.0,Mission,37.75407,-122.40643,House,Entire home/apt,7.0,2.0,3.0,3.0,Real Bed,2.0,6.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
t,moderate,f,852.0,Pacific Heights,37.7905,-122.43682,Apartment,Entire home/apt,4.0,2.0,2.0,2.0,Real Bed,30.0,2.0,90.0,9.0,9.0,9.0,9.0,9.0,8.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
t,moderate,f,3.0,Mission,37.75315,-122.40715,Townhouse,Private room,2.0,1.0,1.0,1.0,Real Bed,2.0,22.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
t,strict_14_with_grace_period,f,2.0,Noe Valley,37.74205,-122.4303,Guest suite,Entire home/apt,3.0,1.0,1.0,1.0,Real Bed,1.0,69.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
f,strict_14_with_grace_period,f,87.0,Downtown/Civic Center,37.78577,-122.41602,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,87.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44
f,flexible,t,53.0,Downtown/Civic Center,37.78767,-122.40892,Boutique hotel,Private room,2.0,1.0,1.0,1.0,Real Bed,1.0,20.0,86.0,9.0,9.0,10.0,9.0,10.0,9.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
f,moderate,f,1.0,Russian Hill,37.79905,-122.41835,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,31.0,90.0,95.0,10.0,9.0,10.0,10.0,10.0,9.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
f,moderate,f,2.0,Mission,37.75781,-122.4237,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,1.0,30.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
f,flexible,f,1.0,Western Addition,37.78396,-122.44423,Apartment,Private room,2.0,1.0,1.0,1.0,Real Bed,30.0,14.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
f,flexible,t,439.0,South of Market,37.77578,-122.41221,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,233.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49
f,moderate,t,1.0,North Beach,37.79856,-122.40429,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,Real Bed,2.0,47.0,94.0,9.0,9.0,10.0,10.0,10.0,9.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
f,strict_14_with_grace_period,f,1.0,Bernal Heights,37.73294,-122.41297,House,Private room,2.0,1.0,1.0,2.0,Real Bed,1.0,72.0,90.0,9.0,10.0,10.0,9.0,9.0,9.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
t,strict_14_with_grace_period,f,89.0,Downtown/Civic Center,37.77981,-122.4219,Boutique hotel,Private room,2.0,1.0,1.0,1.0,Real Bed,1.0,93.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
f,strict_14_with_grace_period,f,67.0,Downtown/Civic Center,37.78729,-122.40943,Hotel,Private room,4.0,1.0,0.0,2.0,Real Bed,1.0,12.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
t,strict_14_with_grace_period,f,2.0,Mission,37.75146,-122.41248,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,67.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
f,moderate,f,1.0,Western Addition,37.77492,-122.43331,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,Real Bed,2.0,10.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
t,strict_14_with_grace_period,t,2.0,Potrero Hill,37.75943,-122.39267,House,Private room,4.0,1.0,2.0,2.0,Real Bed,2.0,113.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
t,flexible,t,1.0,Western Addition,37.77795,-122.44292,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,30.0,26.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
f,strict_14_with_grace_period,f,3.0,Excelsior,37.73006,-122.42422,Apartment,Entire home/apt,5.0,1.0,2.0,3.0,Real Bed,4.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,277.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58
t,moderate,t,2.0,Mission,37.74994,-122.41452,House,Private room,3.0,1.0,1.0,2.0,Real Bed,1.0,266.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
t,moderate,t,41.0,Mission,37.76676,-122.41921,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,8.0,100.0,10.0,10.0,10.0,10.0,8.0,10.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
t,flexible,f,40.0,Downtown/Civic Center,37.77835,-122.42134,Hotel,Private room,2.0,1.0,0.0,1.0,Real Bed,1.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61
t,strict_14_with_grace_period,f,1.0,Mission,37.77146,-122.42383,Apartment,Private room,1.0,1.0,1.0,1.0,Real Bed,31.0,6.0,93.0,10.0,10.0,10.0,10.0,9.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
f,strict_14_with_grace_period,t,87.0,Mission,37.76585,-122.41712,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,Real Bed,30.0,1.0,80.0,10.0,8.0,10.0,10.0,10.0,8.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
f,strict_14_with_grace_period,t,165.0,Downtown/Civic Center,37.78776,-122.42075,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,Real Bed,30.0,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64
